Date,Name,Year,Letterboxd URI
2021-04-06,The Farewell,2019,https://boxd.it/kIky
2021-04-06,The Imitation Game,2014,https://boxd.it/6aig
2021-04-06,Superbad,2007,https://boxd.it/20hO
2021-04-06,The Big Short,2015,https://boxd.it/ajZw
2021-04-06,10 Things I Hate About You,1999,https://boxd.it/23AO
2021-04-06,Spider-Man,2002,https://boxd.it/2a8i
2021-04-06,Silver Linings Playbook,2012,https://boxd.it/2TTo
2021-04-06,Ford v Ferrari,2019,https://boxd.it/ce74
2021-04-06,The Royal Tenenbaums,2001,https://boxd.it/1YHU
2021-04-06,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G
2021-04-06,It Follows,2014,https://boxd.it/87wo
2021-04-06,Full Metal Jacket,1987,https://boxd.it/2a1Q
2021-04-06,Rear Window,1954,https://boxd.it/2a6Q
2021-04-06,Spider-Man 2,2004,https://boxd.it/2a88
2021-04-06,Edward Scissorhands,1990,https://boxd.it/2aZc
2021-04-06,Minari,2020,https://boxd.it/mL9M
2021-04-06,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2021-04-06,Halloween,1978,https://boxd.it/2wRu
2021-04-06,Casablanca,1942,https://boxd.it/2aG0
2021-04-06,Brokeback Mountain,2005,https://boxd.it/2b2q
2021-04-06,The Sixth Sense,1999,https://boxd.it/29Js
2021-04-06,Ocean's Eleven,2001,https://boxd.it/2aZm
2021-04-06,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc
2021-04-06,Clueless,1995,https://boxd.it/1Ygk
2021-04-06,Groundhog Day,1993,https://boxd.it/2b3e
2021-04-06,The Lego Movie,2014,https://boxd.it/4pDO
2021-04-06,Being John Malkovich,1999,https://boxd.it/2ahu
2021-04-06,Scream,1996,https://boxd.it/24EC
2021-04-06,Rosemary's Baby,1968,https://boxd.it/29zM
2021-04-06,Before Sunset,2004,https://boxd.it/2bcg
2021-04-06,Blue Velvet,1986,https://boxd.it/29BI
2021-04-06,Aliens,1986,https://boxd.it/29PA
2021-04-06,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY
2021-04-06,Boogie Nights,1997,https://boxd.it/23um
2021-04-06,Suspiria,1977,https://boxd.it/1SNW
