Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-01-23,Oppenheimer,2023,https://boxd.it/5EUzS5,4.5,Yes,,2024-01-01
2024-01-24,Poor Things,2023,https://boxd.it/5FK9hh,2,,,2024-01-01
2024-02-06,American Fiction,2023,https://boxd.it/5LGEqZ,4,,,2024-01-01
2024-02-15,The Taste of Things,2023,https://boxd.it/5PG4Bt,4.5,,,2024-02-01
2024-02-19,Argylle,2024,https://boxd.it/5RMqdj,1.5,,,2024-02-01
2024-02-23,The Zone of Interest,2023,https://boxd.it/5TyZst,4,,,2024-02-01
2024-03-19,Kung Fu Panda 4,2024,https://boxd.it/656fTl,3.5,,,2024-03-01
2024-03-21,Dune: Part Two,2024,https://boxd.it/65X1pR,4,,,2024-03-01
2024-03-27,Arthur the King,2024,https://boxd.it/68OwWr,3.5,,,2024-03-01
2024-04-04,Godzilla × Kong: The New Empire,2024,https://boxd.it/6cEvPb,2.5,,,2024-04-01
2024-04-12,Late Night with the Devil,2023,https://boxd.it/6fZ9JT,3,,,2024-04-01
2024-04-17,Civil War,2024,https://boxd.it/6idCaf,1.5,,,2024-04-01
2024-04-22,Deep Sky,2023,https://boxd.it/6k6dSZ,4,,,2024-04-01
2024-04-30,Challengers,2024,https://boxd.it/6nn4j3,3.5,,,2024-04-01
2024-05-06,The Fall Guy,2024,https://boxd.it/6pZ8X1,3.5,,,2024-05-01
2024-05-06,Steel Magnolias,1989,https://boxd.it/6q66rL,4.5,,,2024-05-01
2024-05-15,Abigail,2024,https://boxd.it/6tvGTN,2.5,,,2024-05-01
2024-05-22,The Strangers: Chapter 1,2024,https://boxd.it/6woFK9,3.5,,,2024-05-01
2024-05-27,Furiosa: A Mad Max Saga,2024,https://boxd.it/6y9Bpz,4,,,2024-05-01
2024-05-27,Kingdom of the Planet of the Apes,2024,https://boxd.it/6y9BHN,3.5,,,2024-05-01
2024-06-07,IF,2024,https://boxd.it/6CPwBZ,3,,,2024-06-01
2024-06-12,Bad Boys: Ride or Die,2024,https://boxd.it/6EZlL3,2.5,,,2024-06-01
2024-06-12,In a Violent Nature,2024,https://boxd.it/6EZmsB,3,,,2024-06-01
2024-06-14,The Garfield Movie,2024,https://boxd.it/6FBkSX,3.5,,,2024-06-01
2024-06-18,Field of Dreams,1989,https://boxd.it/6H85mH,5,,,2024-06-01
2024-06-23,Inside Out 2,2024,https://boxd.it/6J6tVF,4,,,2024-06-01
2024-06-28,Thelma,2024,https://boxd.it/6L5YE7,3.5,,,2024-06-01
2024-07-02,A Quiet Place: Day One,2024,https://boxd.it/6MGqBr,3,,,2024-06-01
2024-07-03,Horizon: An American Saga – Chapter 1,2024,https://boxd.it/6NgevD,3.5,,,2024-07-01
2024-07-06,Despicable Me 4,2024,https://boxd.it/6OArlF,3.5,,,2024-07-01
2024-07-09,MaXXXine,2024,https://boxd.it/6PTg5D,2.5,,,2024-07-01
2024-07-13,Longlegs,2024,https://boxd.it/6RtCT7,4,,,2024-07-01
2024-07-23,Twisters,2024,https://boxd.it/6W1goF,4,,,2024-07-01
