Date,Name,Year,Letterboxd URI,Rating
2022-12-02,See How They Run,2022,https://boxd.it/sNVq,3.5
2022-12-14,The Menu,2022,https://boxd.it/lScm,3
2022-12-19,Avatar: The Way of Water,2022,https://boxd.it/2E2E,4
2022-12-19,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,5
2022-12-19,Aliens,1986,https://boxd.it/29PA,5
2022-12-19,Titanic,1997,https://boxd.it/2a2k,5
2022-12-20,Avatar,2009,https://boxd.it/1Efm,4
2022-12-20,The Terminator,1984,https://boxd.it/2aQY,4.5
2022-12-20,True Lies,1994,https://boxd.it/19pq,4
2022-12-20,The Abyss,1989,https://boxd.it/26mK,4
2022-12-20,Psycho II,1983,https://boxd.it/1VUQ,4
2022-12-20,Psycho III,1986,https://boxd.it/1RsS,3.5
2022-12-20,The Devil's Rejects,2005,https://boxd.it/28hC,5
2022-12-20,House of 1000 Corpses,2003,https://boxd.it/26uE,3
2022-12-20,Stop Making Sense,1984,https://boxd.it/1ygo,5
2022-12-29,Malcolm X,1992,https://boxd.it/27WE,5
2022-12-29,Inside Man,2006,https://boxd.it/2auS,4
2022-12-29,25th Hour,2002,https://boxd.it/28LC,3.5
2022-12-29,She's Gotta Have It,1986,https://boxd.it/1quC,3.5
2022-12-29,He Got Game,1998,https://boxd.it/1YBs,4
2022-12-29,Summer of Sam,1999,https://boxd.it/1WE0,3
2022-12-29,Bamboozled,2000,https://boxd.it/1xfa,2.5
2022-12-29,Crooklyn,1994,https://boxd.it/1efg,3
2022-12-29,Clockers,1995,https://boxd.it/1D7w,3.5
2022-12-29,Jungle Fever,1991,https://boxd.it/28fG,4.5
2022-12-29,Mo' Better Blues,1990,https://boxd.it/Yrq,4
2022-12-29,School Daze,1988,https://boxd.it/19Vw,4
2022-12-29,Girl 6,1996,https://boxd.it/cXS,2.5
2022-12-29,4 Little Girls,1997,https://boxd.it/1tAS,5
2022-12-29,Get on the Bus,1996,https://boxd.it/FZe,3
2022-12-29,The Original Kings of Comedy,2000,https://boxd.it/1yZy,4.5
2022-12-29,Mike Tyson: Undisputed Truth,2013,https://boxd.it/6hbG,3.5
2022-12-31,Network,1976,https://boxd.it/1VqG,4
2022-12-31,The Unbearable Lightness of Being,1988,https://boxd.it/1VKc,4.5
2022-12-31,The Right Stuff,1983,https://boxd.it/1YoS,5
2022-12-31,Thelma & Louise,1991,https://boxd.it/28Ew,5
2022-12-31,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,5
2022-12-31,Get Shorty,1995,https://boxd.it/20Ga,4.5
2022-12-31,Ran,1985,https://boxd.it/1Tlu,4.5
2022-12-31,The Crying Game,1992,https://boxd.it/1TYc,3.5
2022-12-31,Heavenly Creatures,1994,https://boxd.it/2974,4
2022-12-31,Ordinary People,1980,https://boxd.it/1JTm,4
2022-12-31,Babe: Pig in the City,1998,https://boxd.it/1YEQ,4
2022-12-31,Sentimental Destinies,2000,https://boxd.it/1C0,4
2022-12-31,La Belle Noiseuse,1991,https://boxd.it/1RxI,4
2022-12-31,To Be or Not to Be,1983,https://boxd.it/1zMA,4
2022-12-31,The Producers,1967,https://boxd.it/1lMm,4
2022-12-31,Animal House,1978,https://boxd.it/2062,5
2022-12-31,Breaking Away,1979,https://boxd.it/1DMO,4.5
2022-12-31,Das Boot,1981,https://boxd.it/2av2,4
2022-12-31,Raising Arizona,1987,https://boxd.it/2avQ,4
2022-12-31,Kicking and Screaming,1995,https://boxd.it/1pHK,4.5
2022-12-31,Jerry Maguire,1996,https://boxd.it/1YNS,4
2022-12-31,Out of Sight,1998,https://boxd.it/28R6,4
2022-12-31,Election,1999,https://boxd.it/1YEc,4
2022-12-31,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M,4
2022-12-31,Erin Brockovich,2000,https://boxd.it/2al2,4
2022-12-31,About a Boy,2002,https://boxd.it/2aMC,4
2022-12-31,Chicago,2002,https://boxd.it/28zm,4
2022-12-31,Match Point,2005,https://boxd.it/2b6s,4
2022-12-31,The Wind That Shakes the Barley,2006,https://boxd.it/293Q,4
2022-12-31,Michael Clayton,2007,https://boxd.it/2466,4
2022-12-31,Once,2007,https://boxd.it/22GG,4.5
2023-01-01,The Hangover,2009,https://boxd.it/1GjK,4
2023-01-01,Hot Tub Time Machine,2010,https://boxd.it/1zIS,4
2023-01-01,127 Hours,2010,https://boxd.it/SLa,4
2023-01-01,Hell or High Water,2016,https://boxd.it/bfGM,4
2023-01-01,Coco,2017,https://boxd.it/bYJQ,3.5
2023-01-01,Wait Until Dark,1967,https://boxd.it/1Unc,4.5
